rentree_scolaire;academie;code_du_departement;departement;uai;nom;code_insee_de_la_commune;nom_de_la_commune;secteur;type_de_lycee;ips
2018-2019;CRETEIL;77;SEINE-ET-MARNE;0770940D;LYCEE POLYVALENT ETIENNE BEZOUT;77333;NEMOURS;public;LPO;103.3
2018-2019;CRETEIL;77;SEINE-ET-MARNE;0771171E;LYCEE PROFESSIONNEL LOUIS LUMIERE LYCEE DES METIERS DE L ELECTRICITE LYCEE DES METIERS DU COMMERCE;77108;CHELLES;public;LP;82.2
2018-2019;CRETEIL;77;SEINE-ET-MARNE;0771200L;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE BLANCHE DE CASTILLE;77186;FONTAINEBLEAU;privé sous contrat;LPO;113.3
2018-2019;CRETEIL;77;SEINE-ET-MARNE;0771238C;ECOLE GENERALE ET TECHNOLOGIQUE PRIVEE SAINT ASPAIS;77288;MELUN;privé sous contrat;LPO;127.6
2018-2019;CRETEIL;77;SEINE-ET-MARNE;0771658J;LYCEE POLYVALENT DU GUE A TRESMES LYCEE DES METIERS DE L HOTELLERIE ET RESTAURATION / DES ARTS ET DESIGN / DE L AMENAGEMENT ET FINITION DU BATIMENT;77126;CONGIS SUR THEROUANNE;public;LPO;98.6
2018-2019;CRETEIL;77;SEINE-ET-MARNE;0772153X;LYCEE POLYVALENT PRIVE JEAN ROSE;77284;MEAUX;privé sous contrat;LPO;113
2018-2019;CRETEIL;77;SEINE-ET-MARNE;0772228D;LYCEE POLYVALENT CHARLES DE GAULLE LYCEE DES METIERS DE LA SANTE ET DU TRAVAIL SOCIAL;77259;LONGPERRIER;public;LPO;106.7
2018-2019;CRETEIL;77;SEINE-ET-MARNE;0772276F;LYCEE POLYVALENT JEHAN DE CHELLES LYCEE DES METIERS DE LA SANTE ET DU SOCIAL;77108;CHELLES;public;LPO;103.6
2018-2019;CRETEIL;77;SEINE-ET-MARNE;0772277G;LYCEE POLYVALENT HENRI BECQUEREL;77327;NANGIS;public;LPO;90.1
2018-2019;VERSAILLES;78;YVELINES;0781297L;LYCEE GENERAL ET TECHNOLOGIQUE PLAINE DE NEAUPHLE;78621;TRAPPES;public;LEGT;85.4
2018-2019;VERSAILLES;78;YVELINES;0781582W;LYCEE PROFESSIONNEL PRIVE NOTRE DAME DU GRANDCHAMP;78646;VERSAILLES;privé sous contrat;LP;122.6
2018-2019;VERSAILLES;78;YVELINES;0781861Z;LYCEE GENERAL ET TECHNOLOGIQUE LOUIS DE BROGLIE;78372;MARLY LE ROI;public;LEGT;145.6
2018-2019;VERSAILLES;78;YVELINES;0781899R;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT FRANCOIS D ASSISE;78423;MONTIGNY LE BRETONNEUX;privé sous contrat;LEGT;148.5
2018-2019;VERSAILLES;78;YVELINES;0781949V;LYCEE GENERAL ET TECHNOLOGIQUE DE VILLAROY;78297;GUYANCOURT;public;LEGT;128.2
2018-2019;VERSAILLES;78;YVELINES;0782539L;LYCEE GENERAL ET TECHNOLOGIQUE SAINT EXUPERY;78361;MANTES LA JOLIE;public;LEGT;99.9
2018-2019;VERSAILLES;78;YVELINES;0782549X;LYCEE POLYVALENT LOUIS BASCAN;78517;RAMBOUILLET;public;LPO;127.9
2018-2019;VERSAILLES;78;YVELINES;0782603F;LYCEE PROFESSIONNEL JACQUES PREVERT;78646;VERSAILLES;public;LP;90.9
2018-2019;VERSAILLES;78;YVELINES;0782924E;LYCEE GENERAL ET TECHNOLOGIQUE EVARISTE GALOIS;78586;SARTROUVILLE;public;LEGT;120.1
2018-2019;VERSAILLES;78;YVELINES;0783140P;LYCEE GENERAL ET TECHNOLOGIQUE MANSART;78545;SAINT CYR L ECOLE;public;LEGT;121.9
2018-2019;VERSAILLES;78;YVELINES;0783325R;LYCEE PROFESSIONNEL PRIVE SAINT VINCENT DE PAUL LYCEE DES METIERS DE LA VENTE ET DE LA RELATION CLIENTELE;78646;VERSAILLES;privé sous contrat;LP;111.2
2018-2019;VERSAILLES;78;YVELINES;0783549J;LYCEE D ENSEIGNEMENT GENERAL INTERNATIONAL;78551;SAINT GERMAIN EN LAYE;public;LEGT;152.2
2018-2019;VERSAILLES;78;YVELINES;0783657B;LYCEE D ENSEIGNEMENT GENERAL PRIVE SAINT AUGUSTIN;78551;SAINT GERMAIN EN LAYE;privé sous contrat;LEGT;150.1
2018-2019;POITIERS;79;DEUX-SEVRES;0790019S;LYCEE GENERAL ET TECHNOLOGIQUE JOSEPH DESFONTAINES;79174;MELLE;public;LEGT;111.5
2018-2019;POITIERS;79;DEUX-SEVRES;0790029C;LYCEE GENERAL ET TECHNOLOGIQUE ERNEST PEROCHON;79202;PARTHENAY;public;LEGT;109.1
2018-2019;POITIERS;79;DEUX-SEVRES;0790080H;LYCEE POLYVALENT PRIVE SAINT JOSEPH;79049;BRESSUIRE;privé sous contrat;LPO;102.6
2018-2019;POITIERS;79;DEUX-SEVRES;0790928E;LYCEE PROFESSIONNEL GASTON BARRE LYCEE DES METIERS DE L AUTOMOBILE ET DE LA LOGISTIQUE;79191;NIORT;public;LP;84.6
2018-2019;POITIERS;79;DEUX-SEVRES;0791029P;LYCEE PROFESSIONNEL LEONARD DE VINCI;79049;BRESSUIRE;public;LP;77
2018-2019;AMIENS;80;SOMME;0800007Y;LYCEE POLYVALENT LAMARCK LYCEE DES METIERS;80016;ALBERT;public;LPO;96.2
2018-2019;AMIENS;80;SOMME;0800009A;LYCEE GENERAL LOUIS THUILLIER;80021;AMIENS;public;LEGT;123.4
2018-2019;AMIENS;80;SOMME;0800046R;LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE PIERRE MENDES FRANCE;80620;PERONNE;public;LEGT;93.2
2018-2019;AMIENS;80;SOMME;0801209E;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINTE FAMILLE;80021;AMIENS;privé sous contrat;LEGT;124.1
2018-2019;AMIENS;80;SOMME;0801226Y;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SACRE COEUR;80620;PERONNE;privé sous contrat;LEGT;108.1
2018-2019;AMIENS;80;SOMME;0801327H;LYCEE D ENSEIGNEMENT TECHNOLOGIQUE EDOUARD BRANLY;80021;AMIENS;public;LEGT;110.1
2018-2019;AMIENS;80;SOMME;0801628K;LYCEE PROFESSIONNEL ROMAIN ROLLAND LYCEE DES METIERS DU TERTIAIRE ET DE LA SECURITE;80021;AMIENS;public;LP;71.5
2018-2019;AMIENS;80;SOMME;0801704T;LYCEE PROFESSIONNEL ALFRED MANESSIER;80318;FLIXECOURT;public;LPO;66.2
2018-2019;AMIENS;80;SOMME;0801853E;LYCEE POLYVALENT JEAN RACINE LYCEE DES METIERS;80561;MONTDIDIER;public;LPO;88.2
2018-2019;AMIENS;80;SOMME;0801874C;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT RIQUIER;80021;AMIENS;privé sous contrat;LEGT;123.1
2018-2019;AMIENS;80;SOMME;0801945E;LYCEE PROFESSIONNEL PRIVE SAINT PIERRE;80001;ABBEVILLE;privé sous contrat;LP;98
2018-2019;AMIENS;80;SOMME;0801949J;LYCEE PROFESSIONNEL PRIVE SAINT RIQUIER;80021;AMIENS;privé sous contrat;LP;101
2018-2019;TOULOUSE;81;TARN;0810004P;LYCEE POLYVALENT LOUIS RASCOL (A ABSORBE L'UAI 0810046K EN 2018);81004;ALBI;public;LPO;106.7
2018-2019;TOULOUSE;81;TARN;0810023K;LYCEE GENERAL ET TECHNOLOGIQUE VICTOR HUGO;81099;GAILLAC;public;LEGT;112.7
2018-2019;TOULOUSE;81;TARN;0810030T;LYCEE GENERAL LAS CASES;81140;LAVAUR;public;LEGT;127.7
2018-2019;TOULOUSE;81;TARN;0810105Z;LYCEE PROFESSIONNEL PRIVE DE LA SALLE LYCEE DES METIERS DE L ENERGIE ELECTRIQUE DE L ELECTRONIQUE NUMERIQUE ET DE LA MAINTENANCE;81065;CASTRES;privé sous contrat;LP;92.6
2018-2019;TOULOUSE;81;TARN;0810108C;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC LYCEE DES METIERS DE LA VENTE;81163;MAZAMET;privé sous contrat;LP;77.7
2018-2019;TOULOUSE;82;TARN-ET-GARONNE;0820020B;LYCEE GENERAL MICHELET;82121;MONTAUBAN;public;LEGT;116.4
2018-2019;TOULOUSE;82;TARN-ET-GARONNE;0820021C;LYCEE GENERAL ET TECHNOLOGIQUE BOURDELLE;82121;MONTAUBAN;public;LEGT;106
2018-2019;NICE;83;VAR;0830015R;LYCEE GENERAL ET TECHNOLOGIQUE JEAN MOULIN;83050;DRAGUIGNAN;public;LEGT;109.2
2018-2019;NICE;83;VAR;0830016S;LYCEE PROFESSIONNEL LEON BLUM;83050;DRAGUIGNAN;public;LP;86
2018-2019;NICE;83;VAR;0830053G;LYCEE GENERAL ET TECHNOLOGIQUE DUMONT D URVILLE;83137;TOULON;public;LEGT;110
2018-2019;NICE;83;VAR;0830058M;LYCEE PROFESSIONNEL GEORGES CISSON LYCEE DES METIERS DE L AUTOMOBILE ET DE L ELECTRICITE;83137;TOULON;public;LP;90.4
2018-2019;NICE;83;VAR;0830100H;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE NOTRE DAME;83137;TOULON;privé sous contrat;LEGT;115.4
2018-2019;NICE;83;VAR;0830661T;LYCEE PROFESSIONNEL CLARET LYCEE DES METIERS DU TERTIAIRE;83137;TOULON;public;LP;77.1
2018-2019;NICE;83;VAR;0831187P;LYCEE PROFESSIONNEL PRIVE SAINT JOSEPH;83090;OLLIOULES;privé sous contrat;LP;98.6
2018-2019;NICE;83;VAR;0831440P;LYCEE POLYVALENT ALBERT CAMUS;83061;FREJUS;public;LPO;102.8
2018-2019;NICE;83;VAR;0831646N;LYCEE POLYVALENT DU VAL D ARGENS;83086;LE MUY;public;LPO;108.5
2018-2019;AIX-MARSEILLE;84;VAUCLUSE;0840072X;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT JOSEPH;84007;AVIGNON;privé sous contrat;LEGT;123.4
2018-2019;AIX-MARSEILLE;84;VAUCLUSE;0840935K;LYCEE POLYVALENT RENE CHAR (A ABSORBE L'UAI 0840939P EN 2018);84007;AVIGNON;public;LPO;98.1
2018-2019;AIX-MARSEILLE;84;VAUCLUSE;0840940R;LYCEE TECHNOLOGIQUE PRIVE SAINT JEAN BAPTISTE DE LA SALLE (A ABSORBE L'UAI 0840941S EN 2018);84007;AVIGNON;privé sous contrat;LPO;104
2018-2019;AIX-MARSEILLE;84;VAUCLUSE;0841078R;LYCEE REGIONAL MONTESQUIEU;84129;SORGUES;public;LP;80.1
2018-2019;AIX-MARSEILLE;84;VAUCLUSE;0841158C;LYCEE GENERAL PRIVE SAINT GABRIEL;84138;VALREAS;privé sous contrat;LEGT;93.8
2018-2019;NANTES;85;VENDEE;0850006V;LYCEE GENERAL ET TECHNOLOGIQUE GEORGES CLEMENCEAU;85051;CHANTONNAY;public;LEGT;99.2
2018-2019;NANTES;85;VENDEE;0850027T;LYCEE POLYVALENT ROSA PARKS LYCEE DES METIERS DES SCIENCES ET TECHNOLOGIES DE LA CONSTRUCTION ET DE L INDUSTRIE;85191;LA ROCHE SUR YON;public;LPO;102.1
2018-2019;NANTES;85;VENDEE;0850077X;LYCEE POLYVALENT PRIVE SAINTE URSULE;85128;LUCON;privé sous contrat;LPO;108
2018-2019;NANTES;85;VENDEE;0850079Z;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE NOTRE DAME DE LA TOURTELIERE;85182;POUZAUGES;privé sous contrat;LEGT;100.1
2018-2019;NANTES;85;VENDEE;0850130E;LYCEE POLYVALENT PRIVE NOTRE DAME DU ROC LYCEE DES METIERS DE LA GESTION DU COMMERCE ET DE L ADMINISTRATION;85191;LA ROCHE SUR YON;privé sous contrat;LPO;106.5
2018-2019;NANTES;85;VENDEE;0850136L;LYCEE POLYVALENT PRIVE JEANNE D ARC LYCEE DES METIERS DE LA LOGISTIQUE ET DU TRANSPORT;85146;MONTAIGU;privé sous contrat;LPO;108.2
2018-2019;NANTES;85;VENDEE;0851346B;LYCEE GENERAL ET TECHNOLOGIQUE FRANCOIS TRUFFAUT;85047;CHALLANS;public;LEGT;107.4
2018-2019;NANTES;85;VENDEE;0851400K;LYCEE POLYVALENT JEAN MONNET;85109;LES HERBIERS;public;LPO;96.6
2018-2019;NANTES;85;VENDEE;0851516L;LYCEE PROFESSIONNEL ST MICHEL;85238;SAINT LAURENT SUR SEVRE;privé sous contrat;LP;98.3
2018-2019;POITIERS;86;VIENNE;0860029P;LYCEE PROFESSIONNEL RAOUL MORTIER LYCEE DES METIERS DE L ENERGIE ET DES SERVICES AUX ENTREPRISES;86165;MONTMORILLON;public;LP;85.2
2018-2019;POITIERS;86;VIENNE;0860034V;LYCEE GENERAL ET TECHNOLOGIQUE VICTOR HUGO;86194;POITIERS;public;LEGT;122.7
2018-2019;POITIERS;86;VIENNE;0860037Y;LYCEE POLYVALENT NELSON MANDELA;86194;POITIERS;public;LPO;109
2018-2019;POITIERS;86;VIENNE;0860774Z;LYCEE POLYVALENT PRIVE ST JACQUES DE COMPOSTELLE LYCEE DES METIERS AU SERVICE DES ORGANISATIONS ET DES PERSONNES;86194;POITIERS;privé sous contrat;LPO;101.4
2018-2019;POITIERS;86;VIENNE;0860903P;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE UNION CHRETIENNE;86194;POITIERS;privé sous contrat;LEGT;135.5
2018-2019;POITIERS;86;VIENNE;0861223M;LYCEE PILOTE INNOVANT INTERNATIONAL;86115;JAUNAY MARIGNY;public;LEGT;128.1
2018-2019;LIMOGES;87;HAUTE-VIENNE;0870003F;LYCEE GENERAL ET TECHNOLOGIQUE JEAN GIRAUDOUX;87011;BELLAC;public;LEGT;105.9
2018-2019;LIMOGES;87;HAUTE-VIENNE;0870019Y;LYCEE POLYVALENT SUZANNE VALADON;87085;LIMOGES;public;LPO;89.7
2018-2019;LIMOGES;87;HAUTE-VIENNE;0870919B;LYCEE PROFESSIONNEL PRIVE SAINT JEAN;87085;LIMOGES;privé sous contrat;LP;104.9
2018-2019;NANCY-METZ;88;VOSGES;0880021V;LYCEE POLYVALENT PIERRE MENDES FRANCE LYCEE DES METIERS DE LA CONCEPTION DE L AUTOMATIQUE ET DE L ENERGIE;88160;EPINAL;public;LPO;105.5
2018-2019;NANCY-METZ;88;VOSGES;0880031F;LYCEE PROFESSIONNEL PIERRE GILLES DE GENNES LYCEE DES METIERS DE L AUTOMOBILE ET DU TRANSPORT;88196;GERARDMER;public;LP;83.7
2018-2019;NANCY-METZ;88;VOSGES;0880040R;LYCEE POLYVALENT PIERRE ET MARIE CURIE LYCEE DES METIERS DES ARTS DE L HABITAT ET DE L AMEUBLEMENT;88321;NEUFCHATEAU;public;LPO;98
2018-2019;NANCY-METZ;88;VOSGES;0880133S;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC;88078;BRUYERES;privé sous contrat;LP;80.1
2018-2019;DIJON;89;YONNE;0890003V;LYCEE GENERAL JACQUES AMYOT;89024;AUXERRE;public;LEGT;117.6
2018-2019;DIJON;89;YONNE;0890005X;LYCEE POLYVALENT JEAN JOSEPH FOURIER;89024;AUXERRE;public;LPO;95.4
2018-2019;DIJON;89;YONNE;0890064L;LYCEE POLYVALENT PRIVE JEANNE D ARC;89025;AVALLON;privé sous contrat;LPO;98.3
2018-2019;DIJON;89;YONNE;0891159B;LYCEE PROFESSIONNEL SAINT GERMAIN;89024;AUXERRE;public;LP;79.9
2018-2019;DIJON;89;YONNE;0891168L;LYCEE GENERAL ET TECHNOLOGIQUE PIERRE LAROUSSE;89419;TOUCY;public;LEGT;109.7
2018-2019;BESANCON;90;TERRITOIRE DE BELFORT;0900425Y;LYCEE PROFESSIONNEL PRIVE SAINT JOSEPH;90010;BELFORT;privé sous contrat;LP;81.2
2018-2019;VERSAILLES;91;ESSONNE;0910623H;LYCEE GENERAL ET TECHNOLOGIQUE MARCEL PAGNOL;91027;ATHIS MONS;public;LEGT;104
2018-2019;VERSAILLES;91;ESSONNE;0910629P;LYCEE PROFESSIONNEL CHATEAU DES COUDRAIES LYCEE DES METIERS DE BOUCHE ET D HOTELLERIE;91225;ETIOLLES;public;LP;94.6
2018-2019;VERSAILLES;91;ESSONNE;0910808J;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT CHARLES;91027;ATHIS MONS;privé sous contrat;LEGT;131.9
2018-2019;VERSAILLES;91;ESSONNE;0910812N;LYCEE GENERAL PRIVE SAINT PIERRE;91114;BRUNOY;privé sous contrat;LEGT;131.7
2018-2019;VERSAILLES;91;ESSONNE;0910815S;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE JEANNE D ARC;91223;ETAMPES;privé sous contrat;LEGT;134.1
2018-2019;VERSAILLES;91;ESSONNE;0910819W;LYCEE PRIVE DU COURS SECONDAIRE D ORSAY;91471;ORSAY;privé sous contrat;LEGT;154.6
2018-2019;VERSAILLES;91;ESSONNE;0911577V;LYCEE GENERAL ET TECHNOLOGIQUE JACQUES PREVERT;91345;LONGJUMEAU;public;LEGT;120.9
2018-2019;VERSAILLES;91;ESSONNE;0912161E;LYCEE POLYVALENT PRIVE SAINT LEON;91174;CORBEIL ESSONNES;privé sous contrat;LPO;125.5
2018-2019;VERSAILLES;91;ESSONNE;0912342B;LYCEE GERERAL ET TECHNOLOGIQUE PRIVE LA SALLE IGNY;91312;IGNY;privé sous contrat;LEGT;130.7
2018-2019;VERSAILLES;92;HAUTS-DE-SEINE;0920130S;LYCEE GENERAL ET TECHNOLOGIQUE DESCARTES;92002;ANTONY;public;LEGT;131.3
2018-2019;VERSAILLES;92;HAUTS-DE-SEINE;0920134W;LYCEE GENERAL ET TECHNOLOGIQUE JACQUES PREVERT;92012;BOULOGNE BILLANCOURT;public;LEGT;123.5
2018-2019;VERSAILLES;92;HAUTS-DE-SEINE;0920137Z;LYCEE GENERAL ET TECHNOLOGIQUE GUY DE MAUPASSANT;92025;COLOMBES;public;LEGT;100.3
2018-2019;VERSAILLES;92;HAUTS-DE-SEINE;0920150N;LYCEE POLYVALENT DE PRONY LYCEE DES METIERS DU BOIS DE L EBENISTERIE DE LA TECHNIQUE DE L ARCHITECTURE ET DE L HABITAT;92004;ASNIERES SUR SEINE;public;LP;89.3
2018-2019;VERSAILLES;92;HAUTS-DE-SEINE;0920163C;LYCEE PROFESSIONNEL LOUIS GIRARD;92046;MALAKOFF;public;LP;91.3
2018-2019;VERSAILLES;92;HAUTS-DE-SEINE;0920919Z;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE NOTRE DAME DE SAINTE CROIX;92051;NEUILLY SUR SEINE;privé sous contrat;LEGT;149.9
2018-2019;VERSAILLES;92;HAUTS-DE-SEINE;0920937U;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SUGER;92076;VAUCRESSON;privé sous contrat;LEGT;130.6
2018-2019;VERSAILLES;92;HAUTS-DE-SEINE;0921230M;LYCEE POLYVALENT LEONARD DE VINCI LYCEE DES METIERS DE LA MICRO TECHNOLOGIE DE L OPTIQUE ET DES SERVICES AUX ENTREPRISES;92044;LEVALLOIS PERRET;public;LPO;115.5
2018-2019;VERSAILLES;92;HAUTS-DE-SEINE;0921505L;LYCEE PROFESSIONNEL LOUIS DARDENNE;92075;VANVES;public;LP;87.4
2018-2019;VERSAILLES;92;HAUTS-DE-SEINE;0922249V;LYCEE POLYVALENT MONTESQUIEU;92060;LE PLESSIS ROBINSON;public;LPO;112
2018-2019;VERSAILLES;92;HAUTS-DE-SEINE;0922277A;LYCEE POLYVALENT CHARLES PETIET;92078;VILLENEUVE LA GARENNE;public;LP;78.1
2018-2019;VERSAILLES;92;HAUTS-DE-SEINE;0922464D;LYCEE POLYVALENT LOUISE MICHEL;92050;NANTERRE;public;LP;89.2
2018-2019;CRETEIL;93;SEINE-SAINT-DENIS;0930117X;LYCEE GENERAL ET TECHNOLOGIQUE LE CORBUSIER;93001;AUBERVILLIERS;public;LEGT;78.8
2018-2019;CRETEIL;93;SEINE-SAINT-DENIS;0930125F;LYCEE ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE PAUL ELUARD;93066;SAINT DENIS;public;LEGT;81.7
2018-2019;CRETEIL;93;SEINE-SAINT-DENIS;0930127H;LYCEE GENERAL ET TECHNOLOGIQUE CLEMENCEAU;93077;VILLEMOMBLE;public;LEGT;105.3
2018-2019;CRETEIL;93;SEINE-SAINT-DENIS;0930830X;LYCEE GENERAL ET TECHNOLOGIQUE ALBERT SCHWEITZER;93062;LE RAINCY;public;LEGT;112.6
2018-2019;CRETEIL;93;SEINE-SAINT-DENIS;0930831Y;LYCEE PROFESSIONNEL ARISTIDE BRIAND LYCEE DES METIERS DE L AERIEN;93007;LE BLANC MESNIL;public;LPO;77.7
2018-2019;CRETEIL;93;SEINE-SAINT-DENIS;0930846P;LYCEE PROFESSIONNEL VOILLAUME LYC METIERS MANAGEMENT GESTION ADMINISTRATION COMMUNICATION LYC METIERS CONCEPTION REALISATION SYSTEMES INDUSTRIELS;93005;AULNAY SOUS BOIS;public;LP;79.6
2018-2019;CRETEIL;93;SEINE-SAINT-DENIS;0930946Y;LYCEE PROFESSIONNEL PRIVE SAINT VINCENT DE PAUL;93066;SAINT DENIS;privé sous contrat;LP;100.6
2018-2019;CRETEIL;93;SEINE-SAINT-DENIS;0930960N;LYCEE PROFESSIONNEL PRIVE ORT;93048;MONTREUIL;privé sous contrat;LP;109.5
2018-2019;CRETEIL;93;SEINE-SAINT-DENIS;0930961P;LYCEE GENERAL PRIVE ESPERANCE;93005;AULNAY SOUS BOIS;privé sous contrat;LEGT;125.7
2018-2019;CRETEIL;93;SEINE-SAINT-DENIS;0931565W;LYCEE GENERAL ET TECHNOLOGIQUE FLORA TRISTAN;93051;NOISY LE GRAND;public;LEGT;108.6
2018-2019;CRETEIL;93;SEINE-SAINT-DENIS;0931738J;LYCEE PROFESSIONNEL ARTHUR RIMBAUD;93027;LA COURNEUVE;public;LPO;73
2018-2019;CRETEIL;93;SEINE-SAINT-DENIS;0931813R;LYCEE GENERAL PRIVE ALLIANCE;93057;LES PAVILLONS SOUS BOIS;privé sous contrat;LEGT;126.6
2018-2019;CRETEIL;93;SEINE-SAINT-DENIS;0932034F;LYCEE GENERAL ET TECHNOLOGIQUE WOLFGANG AMADEUS MOZART;93007;LE BLANC MESNIL;public;LEGT;85.5
2018-2019;CRETEIL;93;SEINE-SAINT-DENIS;0932048W;LYCEE POLYVALENT BLAISE CENDRARS;93071;SEVRAN;public;LPO;84.3
2018-2019;CRETEIL;93;SEINE-SAINT-DENIS;0932118X;LYCEE POLYVALENT JEAN MOULIN;93007;LE BLANC MESNIL;public;LPO;76
2018-2019;CRETEIL;93;SEINE-SAINT-DENIS;0932120Z;LYCEE POLYVALENT HENRI SELLIER LYCEE DES METIERS DE LA SANTE ET DU SOCIAL;93046;LIVRY GARGAN;public;LPO;88.4
2018-2019;CRETEIL;93;SEINE-SAINT-DENIS;0932129J;LYCEE POLYVALENT APPLICATION DE L ENNA LYCEE DES METIERS DES STRUCTURES METALLIQUES;93066;SAINT DENIS;public;LP;73
2018-2019;CRETEIL;93;SEINE-SAINT-DENIS;0932222K;LYCEE POLYVALENT RENE CASSIN LYCEE DES METIERS DE L ELECTROTECHNIQUE;93062;LE RAINCY;public;LPO;91.3
2018-2019;CRETEIL;93;SEINE-SAINT-DENIS;0932291K;LYCEE POLYVALENT NICOLAS JOSEPH CUGNOT LYCEE DES METIERS DE L AUTOMOBILE;93050;NEUILLY SUR MARNE;public;LPO;91.3
2018-2019;CRETEIL;93;SEINE-SAINT-DENIS;0932303Y;LYCEE GENERAL PRIVE MERKAZ HATORAH FILLES;93062;LE RAINCY;privé sous contrat;LEGT;142.2
2018-2019;CRETEIL;94;VAL-DE-MARNE;0940113M;LYCEE POLYVALENT LANGEVIN WALLON;94017;CHAMPIGNY SUR MARNE;public;LPO;88.9
2018-2019;CRETEIL;94;VAL-DE-MARNE;0940116R;LYCEE GENERAL ET TECHNOLOGIQUE EUGENE DELACROIX;94046;MAISONS ALFORT;public;LEGT;121.3
2018-2019;CRETEIL;94;VAL-DE-MARNE;0940118T;LYCEE POLYVALENT L ARMAND LYC MET TELECOMMUNICATIONS RESEAUX INFORMATIQUES ELECTRICITE ET APPLICATIONS CONCEPTION MECANIQUE ASSISTEE PAR ORDINATEUR;94052;NOGENT SUR MARNE;public;LPO;108
2018-2019;CRETEIL;94;VAL-DE-MARNE;0940138P;LYCEE PROFESSIONNEL ARMAND GUILLAUMIN LYCEE DES METIERS DE LA COIFFURE DE L ESTHETIQUE ET DES SOINS DE LA PERSONNE;94054;ORLY;public;LP;80.2
2018-2019;CRETEIL;94;VAL-DE-MARNE;0940141T;LYCEE POLYVALENT JACQUES BREL LYCEE DES METIERS DES MOTOCYCLES LYCEE DES METIERS DE L EBENISTERIE;94022;CHOISY LE ROI;public;LP;87
2018-2019;CRETEIL;94;VAL-DE-MARNE;0940145X;LYCEE PROFESSIONNEL CAMILLE CLAUDEL;94081;VITRY SUR SEINE;public;LP;81.7
2018-2019;CRETEIL;94;VAL-DE-MARNE;0940853S;LYCEE PROFESSIONNEL PRIVE POULLART DES PLACES;94073;THIAIS;privé sous contrat;LPO;84.3
2018-2019;CRETEIL;94;VAL-DE-MARNE;0940881X;LYCEE GENERAL PRIVE MONTALEMBERT;94052;NOGENT SUR MARNE;privé sous contrat;LEGT;141.3
2018-2019;CRETEIL;94;VAL-DE-MARNE;0941943B;LYCEE GENERAL PRIVE OZAR HATORAH GARCONS;94028;CRETEIL;privé sous contrat;LEGT;125.6
2018-2019;CRETEIL;94;VAL-DE-MARNE;0941972H;LYCEE POLYVALENT FERNAND LEGER LYCEE DES METIERS DE LA MAINTENANCE ET DE L APRES VENTE AUTOMOBILE;94041;IVRY SUR SEINE;public;LPO;84.5
2018-2019;CRETEIL;94;VAL-DE-MARNE;0941974K;LYCEE POLYVALENT ROBERT SCHUMAN;94018;CHARENTON LE PONT;public;LPO;114
2018-2019;VERSAILLES;95;VAL-D'OISE;0950647M;LYCEE GENERAL ET TECHNOLOGIQUE GERARD DE NERVAL;95352;LUZARCHES;public;LEGT;129
2018-2019;VERSAILLES;95;VAL-D'OISE;0950649P;LYCEE POLYVALENT CAMILLE PISSARRO LYCEE DES METIERS DE LA SANTE DU SOCIAL ET DE L AIDE AUX PERSONNES;95500;PONTOISE;public;LPO;111.5
2018-2019;VERSAILLES;95;VAL-D'OISE;0950656X;LYCEE PROFESSIONNEL LE CORBUSIER LYCEE DES METIERS DU BATIMENT;95176;CORMEILLES EN PARISIS;public;LP;91.9
2018-2019;VERSAILLES;95;VAL-D'OISE;0950657Y;LYCEE PROFESSIONNEL FERDINAND BUISSON;95219;ERMONT;public;LP;83
2018-2019;VERSAILLES;95;VAL-D'OISE;0950667J;LYCEE POLYVALENT ROMAIN ROLLAND LYCEE DES METIERS DE L INDUSTRIE DU COMMERCE ET DES SERVICES AUX ENTREPRISES;95280;GOUSSAINVILLE;public;LPO;80.5
2018-2019;VERSAILLES;95;VAL-D'OISE;0950753C;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE NOTRE DAME DE LA PROVIDENCE;95210;ENGHIEN LES BAINS;privé sous contrat;LEGT;139.3
2018-2019;VERSAILLES;95;VAL-D'OISE;0950761L;LYCEE POLYVALENT PRIVE NOTRE DAME DE LA COMPASSION;95500;PONTOISE;privé sous contrat;LPO;136.5
2018-2019;VERSAILLES;95;VAL-D'OISE;0950804H;LYCEE PROFESSIONNEL PRIVE NOTRE FAMILLE;95476;OSNY;privé sous contrat;LP;126.4
